구분,명칭,경도,위도
해수욕장,구룡포,129.566197,35.996968
해수욕장,도구,129.443563,35.992065
해수욕장,영일대,129.378129,36.055236
해수욕장,월포,129.37139,36.203115
해수욕장,칠포,129.400745,36.131716
해수욕장,화진,129.373763,36.252513
해수욕장,일광,129.233693,35.261626
해수욕장,임랑,129.26439,35.318972
해수욕장,다대포,128.964082,35.045957
해수욕장,송도,129.017834,35.076209
해수욕장,광안리,129.11755,35.152134
해수욕장,송정,129.199542,35.1787
해수욕장,해운대,129.161629,35.15875
해수욕장,일산,129.431157,35.494196
해수욕장,진하,129.345911,35.383449
해수욕장,금장,127.163005,34.434171
해수욕장,나로우주,127.469146,34.467425
해수욕장,남열해돋이,127.487205,34.580486
해수욕장,대전,127.272262,34.713732
해수욕장,덕흥,127.458821,34.527449
해수욕장,발포,127.356183,34.491591
해수욕장,연소,127.116389,34.447612
해수욕장,염포,127.492197,34.432476
해수욕장,용동,127.18113,34.631135
해수욕장,익금,127.145644,34.429932
해수욕장,풍류,127.22952,34.66417
해수욕장,외달도,126.29719,34.781866
해수욕장,톱머리,126.386218,34.968184
해수욕장,홀통,126.337543,35.062311
해수욕장,율포솔밭,127.089731,34.669997
해수욕장,대광,126.073771,35.10421
해수욕장,돈목,125.827824,34.608916
해수욕장,배낭기미,125.426538,34.689068
해수욕장,백길,126.039477,34.849472
해수욕장,분계,125.982168,34.870525
해수욕장,시목,125.953942,34.672599
해수욕장,신도,125.973588,34.588205
해수욕장,우전,126.136643,34.971371
해수욕장,원평,125.921914,34.776015
해수욕장,짱뚱어,126.133925,34.990149
해수욕장,추포,126.066763,34.80533
해수욕장,하트,125.894686,34.751349
해수욕장,홍도,125.190768,34.684973
해수욕장,거문도,127.304132,34.019991
해수욕장,만성리검은모래,127.745714,34.779548
해수욕장,모사금,127.756146,34.796349
해수욕장,무술목,127.7764,34.683742
해수욕장,방죽포,127.793569,34.63074
해수욕장,안도,127.812786,34.49052
해수욕장,장등,127.610383,34.644931
해수욕장,웅천,127.667997,34.746917
해수욕장,가마미,126.408538,35.398868
해수욕장,송이도,126.151163,35.274306
해수욕장,금일명사십리,127.061123,34.333063
해수욕장,보길중리은모래,126.589975,34.162933
해수욕장,보길통리,126.578581,34.1575
해수욕장,생일금곡,126.963556,34.312041
해수욕장,신지동고,126.880006,34.329046
해수욕장,신지명사십리,126.80883,34.326937
해수욕장,약산가사동백숲,126.928077,34.370418
해수욕장,보길예송,126.562904,34.140457
해수욕장,청산신흥,126.907975,34.183581
해수욕장,청산지리청송,126.862054,34.196555
해수욕장,안양수문,127.034933,34.635285
해수욕장,가계,126.355389,34.435569
해수욕장,관매도,126.050277,34.240391
해수욕장,신전,126.073318,34.283968
해수욕장,금갑,126.277775,34.395502
해수욕장,돌머리,126.440576,35.086757
해수욕장,땅끝송호,126.518598,34.315187
해수욕장,사구미,126.580856,34.32046
해수욕장,송평,126.471201,34.435597
해수욕장,구시포,126.435585,35.445761
해수욕장,동호,126.483121,35.517586
해수욕장,선유도,126.412209,35.819589
해수욕장,격포,126.470079,35.628952
해수욕장,고사포,126.504752,35.660032
해수욕장,모항,126.507464,35.582377
해수욕장,변산,126.530026,35.67941
해수욕장,위도,126.282983,35.6035
해수욕장,난지섬,126.423538,37.047102
해수욕장,왜목마을,126.527126,37.045
