발생일자,연도,시간,시간대,요일,지방청,해경서, 파출소,시·도,시·군·구,읍·면·동,상세주소,대분류,중분류,위치,대분류,세분류,위도,경도
2011-07-24,2011,,,,서해 지방청,목포,영광 파출소,전라남도,영광군,홍농읍,계마항 북방파제 옆 안벽,항포구,계마항,북방파제 옆,비침수,추락,35.39425833,126.4038444
2011-07-26,2011,01:08,심야,화요일,남해 지방청,통영,통영 파출소,경상남도,통영시,사등면,통영시 한산면 소고포 카페리선착장(한산도-거제 어구)앞 ,항포구,선착장,,침수,추락,34.79678889,128.4901694
2011-07-31,2011,15:40,,,중부 지방청,평택,대산 파출소,충청남도,서산시,대산읍,삼길포 선착장,항포구,삼길포항,선착장,침수,추락,37.00468889,126.4524028
2011-08-09,2011,02:44,심야,화요일,중부 지방청,인천,연평 파출소,인천광역시,옹진군,연평면,인천 옹진군 연평면 소연평도,해안가,소연평도,서측,침수,추락,37.61315556,125.72075
2011-08-11,2011,11:50,오전,,서해 지방청,부안,변산 파출소,전라북도,부안군,변산면,부안군 변산면 적벽강 몽돌 해안 관찰지,해안가,해양생태관찰지,,침수,추락,35.63488889,126.4675
2011-08-14,2011,05:00,심야,일요일,남해 지방청,통영,장승포 파출소,경상남도,거제시,일운면,거제시 구조라항내 세길수산 앞 안벽 접안 중 선박갑판상,항포구,세길수산 앞,,비침수,추락,34.80215278,128.4313056
2011-08-16,2011,19:35,오전,화요일,중부 지방청,인천,하늘바다 파출소,인천광역시,중구,중산동,인천 중구 중산동 소재 구읍뱃터(제1부두 및 제2부두 선착장 사이) 중간 선착장,항포구,구읍 뱃터,중간선착장,침수,추락,37.49227222,126.5816833
2011-08-17,2011,06:08,,,동해 지방청,포항,후포 파출소,경상북도,영덕군,병곡면,백석리항내,항포구,백석항,,침수,추락,36.62359167,129.4126694
2011-08-20,2011,13:37,,,서해 지방청,여수,녹동 파출소,전라남도,고흥군,도양읍,녹동신항 여객선 선착장(평화해운 물량장),항포구,선착장,물량장,침수,추락,34.52334167,127.1434944
2011-09-02,2011,19:50,오전,금요일,중부 지방청,인천,하늘바다 파출소,인천광역시,중구,중산동,인천 중구 중산동 1823-1 선착장,항포구,중산동,선착장,침수,추락,37.51638889,126.5639167
2011-09-08,2011,03:52,심야,,서해 지방청,군산,비응 파출소,전라북도,군산시,비응도동,전북 군산시 비응도 수협앞 ,항포구,비응항,수협위판장,침수,추락,35.93662778,126.5326167
2011-09-11,2011,13:00,,,남해 지방청,부산,남항 파출소,부산광역시,서구,남부민동,현대타워 뒷편 통선장(물량장),항포구,물량장,,침수,추락,35.09194444,129.0252778
2011-09-24,2011,18:20,,,중부 지방청,인천,강화 파출소,인천광역시,강화군,내가면,강화군 내가면 외포리 정포항(외포항),항포구,정포항,외포리 선착장,침수,추락,37.70040556,126.3811472
2011-10-03,2011,18:47,오후,,서해 지방청,부안,변산 파출소,전라북도,부안군,하서면,해창 임시홍보전시관 앞 선착장,항포구,해창출장소,선착장,침수,추락,35.69722778,126.5557306
2011-10-09,2011,06:16,,,남해 지방청,부산,민락 파출소,부산광역시,남구,용호동,부산 용호 구 선착장 앞 해상,항포구,선착장,용호 구 선착장,침수,추락,35.13036111,129.1175556
2011-10-15,2011,18:19,,,남해 지방청,부산,남항 파출소,부산광역시,동구,충장대로,부산항 3부두 현대산업 개발 현장사무소 앞,항포구,부산항,현대산업 개발 ,침수,추락,35.11613889,129.0469444
2011-10-24,2011,,,,서해 지방청,완도,땅끝 파출소,전라남도,해남군,송지면,전남 해남군 송지면 송호리 사랑개 선착장,항포구,사랑개항,선착장,침수,추락,34.32416667,126.5171056
2011-10-26,2011,09:50,,,제주 지방청,제주,한림 파출소,제주특별자치도,제주시,한림읍,한림항 외항 서방파제 앞 ,방파제,한림항,서방파제,침수,추락,33.41252222,126.255825
2011-10-28,2011,06:52,,,중부 지방청,인천,강화 파출소,인천광역시,강화군,양도면,인천 강화 양도면 건평리 건평선착장 70m,항포구,건평항,건평 선착장,침수,추락,37.68022222,126.399
2011-10-31,2011,18:50,,,중부 지방청,태안,대천 파출소,충청남도,보령시,신흑동,대천서부수협 앞 ,항포구,대천항,서부수협,침수,추락,36.32758056,126.5138083
2011-11-04,2011,,,,서해 지방청,목포,지도 파출소,전라남도,신안군,임자면,진리선착장,항포구,진리항,진리 선착장,침수,추락,35.08147222,126.1215278
2011-11-14,2011,22:05,,,남해 지방청,울산, 대변 파출소,부산광역시,기장군,일광면,부산시 기장군 일광면 문중리 소재 문중항 어선 선착장 앞 해상,항포구,칠암항,선착장,침수,추락,35.297775,129.2610139
2011-11-17,2011,,,,서해 지방청,완도,노화 파출소,전라남도,완도군,노화읍,전남 완도군 노화읍 잘포리 소재 물량장,항포구,잘포리항,물량장,침수,추락,34.18937778,126.5614
2011-11-23,2011,,,,동해 지방청,동해,삼척 파출소,강원도,삼척시,근덕면,덕산항 남애포횟집 앞 30m,항포구,덕산항,,침수,추락,37.37803611,129.2533139
2011-11-28,2011,07:10,오전,,서해 지방청,군산,비응 파출소,전라북도,군산시,비응도동,수협제빙공장 앞 선착장,항포구,비응항,선착장,침수,추락,35.93662778,126.5326167
2011-12-01,2011,,,,중부 지방청,평택,당진 파출소,충청남도,당진시,석문면,당진시 송산면 가곡리1-1,항포구,,,비침수,추락,36.99919167,126.6861056
2011-12-14,2011,16:00,,,중부 지방청,인천,연평 파출소,인천광역시,웅진군,연평면,인천 옹진군 연평면 소재 안목선착장,항포구,안목,해안도로,침수,추락,37.65002778,125.713
2011-12-25,2011,07:00,,,제주 지방청,제주,제주 파출소,제주특별자치도,제주시,화북동,제주시 화북동 화북포구내,항포구,,,침수,추락,33.52497222,126.5642778
2012-01-10,2012,07:55,,,서해 지방청,여수,광양 파출소,전라남도,광양시,금호동,전남 광양시 금호제철 어울림 체육관 인근,해안가,어울림 체육관 해안가,,침수,추락,34.9415,127.7195
2012-01-25,2012,09:14,오전,수요일,남해 지방청,울산,기장 파출소,울산광역시,기장군,일광면,부산 기장군 일광면 이천리 소재 해녀복지회관 앞 ,항포구,이천항,해녀복지회관 앞,침수,추락,35.26486111,129.2400278
2012-02-04,2012,11:40,오전,토요일,제주 지방청,서귀포,성산 파출소,제주특별자치도,서귀포시,성산읍,서귀포 성산읍 섭지코지 앞 갯바위,갯바위,,,침수,추락,33.42400556,126.9308167
2012-02-10,2012,10:33,오전,금요일,중부 지방청,인천,인항 파출소,인천광역시,중구,서해대로,영진부두(남항소재) ,항포구,남항부두,영진공사,침수,추락,37.444875,126.6184
2012-02-24,2012,06:07,오전,금요일,남해 지방청,통영,거제남부 파출소,경상남도,거제시,남부면,거제시 남부면 갈곶리 함목해수욕장 동방 20m ,해안가,함목 해수욕장 인근,해안도로,침수,추락,34.74023889,128.6543
2012-03-02,2012,05:30,,,중부 지방청,태안,대천 파출소,충청남도,보령시,신흑동,대천항 유람선부두 ,항포구,대천항,대천 유람선,침수,추락,36.327575,126.5112167
2012-03-23,2012,03:32,,,남해 지방청,부산,송정 파출소,부산광역시,해운대구,송정동,해운대구 송정항,항포구,송정항,,침수,추락,35.18041667,129.2059167
